unit_id,qc_result,rework_flag,downtime_minutes,rework_reason
G-000001,Pass,0,1,
G-000002,Pass,0,1,
G-000003,Pass,0,1,
G-000004,Fail,1,23,Machine Malfunction
G-000005,Pass,0,0,
G-000006,Pass,0,1,
G-000007,Pass,0,0,
G-000008,Pass,0,1,
G-000009,Pass,0,1,
G-000010,Pass,0,3,
G-000011,Fail,1,27,Material Defect
G-000012,Fail,1,36,Incorrect dimensions
G-000013,Pass,0,2,
G-000014,Pass,0,3,
G-000015,Pass,0,1,
G-000016,Fail,1,28,Incorrect dimensions
G-000017,Pass,0,1,
G-000018,Fail,1,43,Incorrect dimensions
G-000019,Fail,1,32,Incorrect dimensions
G-000020,Pass,0,0,
G-000021,Pass,0,3,
G-000022,Pass,0,3,
G-000023,Pass,0,2,
G-000024,Pass,0,3,
G-000025,Pass,0,1,
G-000026,Pass,0,1,
G-000027,Pass,0,0,
G-000028,Pass,0,3,
G-000029,Fail,1,52,Incorrect dimensions
G-000030,Pass,0,2,
G-000031,Fail,1,20,Incorrect dimensions
G-000032,Fail,1,43,Edge chip
G-000033,Pass,0,1,
G-000034,Pass,0,2,
G-000035,Fail,1,31,Incorrect dimensions
G-000036,Pass,0,3,
G-000037,Pass,0,3,
G-000038,Pass,0,2,
G-000039,Pass,0,1,
G-000040,Pass,0,3,
G-000041,Pass,0,3,
G-000042,Pass,0,0,
G-000043,Pass,0,1,
G-000044,Pass,0,0,
G-000045,Pass,0,2,
G-000046,Pass,0,2,
G-000047,Pass,0,2,
G-000048,Pass,0,1,
G-000049,Pass,0,2,
G-000050,Pass,0,0,
G-000051,Pass,0,1,
G-000052,Pass,0,2,
G-000053,Pass,0,3,
G-000054,Pass,0,0,
G-000055,Pass,0,2,
G-000056,Fail,1,44,Edge chip
G-000057,Fail,1,33,Incorrect dimensions
G-000058,Pass,0,0,
G-000059,Pass,0,3,
G-000060,Pass,0,0,
G-000061,Pass,0,3,
G-000062,Fail,1,42,Edge chip
G-000063,Pass,0,3,
G-000064,Pass,0,3,
G-000065,Fail,1,40,Edge chip
G-000066,Pass,0,2,
G-000067,Pass,0,3,
G-000068,Pass,0,0,
G-000069,Pass,0,2,
G-000070,Fail,1,36,Edge chip
G-000071,Pass,0,3,
G-000072,Pass,0,0,
G-000073,Pass,0,1,
G-000074,Pass,0,3,
G-000075,Fail,1,48,Edge chip
G-000076,Fail,1,44,Edge chip
G-000077,Pass,0,1,
G-000078,Pass,0,2,
G-000079,Pass,0,3,
G-000080,Fail,1,22,Incorrect dimensions
G-000081,Fail,1,46,Edge chip
G-000082,Fail,1,39,Design / Specification Issue
G-000083,Pass,0,0,
G-000084,Fail,1,33,Incorrect dimensions
G-000085,Fail,1,39,Machine Malfunction
G-000086,Pass,0,2,
G-000087,Pass,0,3,
G-000088,Pass,0,0,
G-000089,Pass,0,3,
G-000090,Pass,0,0,
G-000091,Pass,0,3,
G-000092,Pass,0,3,
G-000093,Pass,0,3,
G-000094,Pass,0,1,
G-000095,Fail,1,44,Machine Malfunction
G-000096,Fail,1,49,Machine Malfunction
G-000097,Pass,0,0,
G-000098,Pass,0,3,
G-000099,Pass,0,1,
G-000100,Fail,1,55,Contamination
G-000101,Pass,0,0,
G-000102,Fail,1,37,Incorrect dimensions
G-000103,Pass,0,3,
G-000104,Pass,0,3,
G-000105,Pass,0,1,
G-000106,Fail,1,54,Incorrect dimensions
G-000107,Pass,0,1,
G-000108,Pass,0,3,
G-000109,Pass,0,0,
G-000110,Fail,1,48,Contamination
G-000111,Fail,1,60,Incorrect dimensions
G-000112,Fail,1,36,Material Defect
G-000113,Pass,0,0,
G-000114,Fail,1,35,Edge chip
G-000115,Pass,0,3,
G-000116,Pass,0,0,
G-000117,Pass,0,3,
G-000118,Pass,0,3,
G-000119,Pass,0,0,
G-000120,Pass,0,0,
G-000121,Pass,0,3,
G-000122,Fail,1,39,Machine Malfunction
G-000123,Fail,1,44,Machine Malfunction
G-000124,Fail,1,21,Machine Malfunction
G-000125,Pass,0,0,
G-000126,Pass,0,2,
G-000127,Pass,0,0,
G-000128,Pass,0,1,
G-000129,Pass,0,3,
G-000130,Fail,1,38,Edge chip
G-000131,Pass,0,3,
G-000132,Fail,1,42,Edge chip
G-000133,Fail,1,50,Incorrect dimensions
G-000134,Pass,0,2,
G-000135,Pass,0,2,
G-000136,Pass,0,2,
G-000137,Pass,0,3,
G-000138,Pass,0,1,
G-000139,Pass,0,1,
G-000140,Pass,0,0,
G-000141,Pass,0,1,
G-000142,Fail,1,28,Incorrect dimensions
G-000143,Pass,0,1,
G-000144,Pass,0,1,
G-000145,Pass,0,0,
G-000146,Pass,0,1,
G-000147,Fail,1,33,Design / Specification Issue
G-000148,Pass,0,3,
G-000149,Fail,1,41,Edge chip
G-000150,Pass,0,3,
G-000151,Pass,0,2,
G-000152,Pass,0,2,
G-000153,Fail,1,60,Edge chip
G-000154,Fail,1,60,Edge chip
G-000155,Fail,1,30,Incorrect dimensions
G-000156,Fail,1,26,Incorrect dimensions
G-000157,Pass,0,3,
G-000158,Pass,0,0,
G-000159,Fail,1,43,Edge chip
G-000160,Pass,0,1,
G-000161,Pass,0,1,
G-000162,Pass,0,3,
G-000163,Pass,0,1,
G-000164,Pass,0,3,
G-000165,Fail,1,53,Incorrect dimensions
G-000166,Pass,0,2,
G-000167,Pass,0,2,
G-000168,Pass,0,0,
G-000169,Pass,0,2,
G-000170,Pass,0,2,
G-000171,Fail,1,54,Edge chip
G-000172,Pass,0,0,
G-000173,Pass,0,0,
G-000174,Pass,0,3,
G-000175,Pass,0,3,
G-000176,Pass,0,0,
G-000177,Pass,0,2,
G-000178,Pass,0,1,
